lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/motioninb/en-GB/experiment.html" 10.179.3.61 114.119.167.96 - - [17/Apr/2020:00:34:05 +0100] "GET /motioninb/en-GB/experiment.html?LPPPSession=1567555200020 HTTP/1.1" 200 13298 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; AspiegelBot)" 15367 1587080045.531+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index_en-GB.html" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /index_en-GB.html HTTP/1.1" 200 5722 "http://www.lppp.lancs.ac.uk/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 26461 1587100462.132+10 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/LanguageManagement.js" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /javascript/LanguageManagement.js HTTP/1.1" 200 1898 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 15397 1587100462.297+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/popin.js" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /javascript/popin.js HTTP/1.1" 200 1297 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 3202 1587100462.428+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/SessionManagement.js" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /javascript/SessionManagement.js HTTP/1.1" 200 2739 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 26461 1587100462.433+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModuleList.js" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /javascript/GenerateModuleList.js HTTP/1.1" 200 2861 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 834 1587100462.433+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModeList.js" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /javascript/GenerateModeList.js HTTP/1.1" 200 8200 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 15074 1587100462.433+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/logo.gif" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /images/logo.gif HTTP/1.1" 200 978 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 15397 1587100462.564+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/css/lppp800.css" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /css/lppp800.css HTTP/1.1" 200 6783 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 3202 1587100462.564+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/OffLine.js.txt" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /javascript/OffLine.js HTTP/1.1" 200 - "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 15074 1587100462.800+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/lancaster_logo.gif" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /images/lancaster_logo.gif?LPPPSession=1587100462749&LPPPModule=1&LPPPMode=0 HTTP/1.1" 200 22171 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 26461 1587100462.800+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/en-GB.gif" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:22 +0100] "GET /images/en-GB.gif HTTP/1.1" 200 260 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 834 1587100462.800+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 2605:6000:170b:c26b:98e8:fff:74fd:c460 - - [17/Apr/2020:06:14:23 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Mobile/15E148 Safari/604.1" 834 1587100463.163+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/neutrinos/simulation.html" - 41.46.81.122 - - [17/Apr/2020:06:24:57 +0100] "GET /neutrinos/simulation.html HTTP/1.1" 404 262 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko" 9803 1587101097.382+5 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/neutrinos/simulation.html" - 41.46.81.122 - - [17/Apr/2020:06:28:35 +0100] "GET /neutrinos/simulation.html HTTP/1.1" 404 262 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko" 25566 1587101315.913+4 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index.html" - 207.46.13.112 - - [17/Apr/2020:06:33:11 +0100] "GET / HTTP/1.1" 200 5863 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 6655 1587101591.865+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index_en-GB.html" - 103.100.222.176 - - [17/Apr/2020:08:42:11 +0100] "GET /index_en-GB.html HTTP/1.1" 200 5722 "http://www.lppp.lancs.ac.uk/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 1400 1587109331.740+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/LanguageManagement.js" - 103.100.222.176 - - [17/Apr/2020:08:42:12 +0100] "GET /javascript/LanguageManagement.js HTTP/1.1" 200 1898 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 23031 1587109332.107+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModuleList.js" - 103.100.222.176 - - [17/Apr/2020:08:42:12 +0100] "GET /javascript/GenerateModuleList.js HTTP/1.1" 200 2861 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20882 1587109332.386+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/popin.js" - 103.100.222.176 - - [17/Apr/2020:08:42:12 +0100] "GET /javascript/popin.js HTTP/1.1" 200 1297 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 1400 1587109332.387+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModeList.js" - 103.100.222.176 - - [17/Apr/2020:08:42:12 +0100] "GET /javascript/GenerateModeList.js HTTP/1.1" 200 8200 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 9662 1587109332.412+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/SessionManagement.js" - 103.100.222.176 - - [17/Apr/2020:08:42:12 +0100] "GET /javascript/SessionManagement.js HTTP/1.1" 200 2739 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20022 1587109332.423+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/css/lppp800.css" - 103.100.222.176 - - [17/Apr/2020:08:42:12 +0100] "GET /css/lppp800.css HTTP/1.1" 200 6783 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 31365 1587109332.710+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/logo.gif" - 103.100.222.176 - - [17/Apr/2020:08:42:12 +0100] "GET /images/logo.gif HTTP/1.1" 200 978 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 12055 1587109332.714+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/OffLine.js.txt" - 103.100.222.176 - - [17/Apr/2020:08:42:13 +0100] "GET /javascript/OffLine.js HTTP/1.1" 200 - "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 23031 1587109333.047+1 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/lancaster_logo.gif" - 103.100.222.176 - - [17/Apr/2020:08:42:13 +0100] "GET /images/lancaster_logo.gif?LPPPSession=1587109332849&LPPPModule=1&LPPPMode=0 HTTP/1.1" 200 22171 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20022 1587109333.045+3 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/en-GB.gif" - 103.100.222.176 - - [17/Apr/2020:08:42:13 +0100] "GET /images/en-GB.gif HTTP/1.1" 200 260 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 1374 1587109333.050+2 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index_en-GB.html" - 103.100.222.176 - - [17/Apr/2020:08:43:42 +0100] "GET /index_en-GB.html HTTP/1.1" 200 5722 "http://www.lppp.lancs.ac.uk/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 11493 1587109422.318+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index_en-GB.html" - 103.100.222.176 - - [17/Apr/2020:08:43:43 +0100] "GET /index_en-GB.html HTTP/1.1" 200 5722 "http://www.lppp.lancs.ac.uk/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 9662 1587109423.737+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/LanguageManagement.js" - 103.100.222.176 - - [17/Apr/2020:08:43:44 +0100] "GET /javascript/LanguageManagement.js HTTP/1.1" 200 1898 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 23031 1587109424.152+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/popin.js" - 103.100.222.176 - - [17/Apr/2020:08:43:44 +0100] "GET /javascript/popin.js HTTP/1.1" 200 1297 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 23031 1587109424.438+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/SessionManagement.js" - 103.100.222.176 - - [17/Apr/2020:08:43:44 +0100] "GET /javascript/SessionManagement.js HTTP/1.1" 200 2739 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 11493 1587109424.439+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModeList.js" - 103.100.222.176 - - [17/Apr/2020:08:43:44 +0100] "GET /javascript/GenerateModeList.js HTTP/1.1" 200 8200 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 30612 1587109424.441+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/GenerateModuleList.js" - 103.100.222.176 - - [17/Apr/2020:08:43:44 +0100] "GET /javascript/GenerateModuleList.js HTTP/1.1" 200 2861 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 20882 1587109424.459+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/logo.gif" - 103.100.222.176 - - [17/Apr/2020:08:43:44 +0100] "GET /images/logo.gif HTTP/1.1" 200 978 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 31365 1587109424.753+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/css/lppp800.css" - 103.100.222.176 - - [17/Apr/2020:08:43:44 +0100] "GET /css/lppp800.css HTTP/1.1" 200 6783 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 23031 1587109424.754+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/lancaster_logo.gif" - 103.100.222.176 - - [17/Apr/2020:08:43:45 +0100] "GET /images/lancaster_logo.gif?LPPPSession=1587109424881&LPPPModule=1&LPPPMode=0 HTTP/1.1" 200 22171 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 31365 1587109425.088+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/images/en-GB.gif" - 103.100.222.176 - - [17/Apr/2020:08:43:45 +0100] "GET /images/en-GB.gif HTTP/1.1" 200 260 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 11493 1587109425.109+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/javascript/OffLine.js.txt" - 103.100.222.176 - - [17/Apr/2020:08:43:45 +0100] "GET /javascript/OffLine.js HTTP/1.1" 200 - "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 30612 1587109425.110+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 103.100.222.176 - - [17/Apr/2020:08:43:45 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "http://lppp.lancs.ac.uk/index_en-GB.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Mobile/15E148 Safari/604.1" 11493 1587109425.860+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index.html" - 78.71.47.171 - - [17/Apr/2020:09:44:45 +0100] "GET / HTTP/1.1" 200 5863 "-" "Mozilla/5.0 (iPad; CPU OS 12_4_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1" 12997 1587113085.654+4 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:09:44:45 +0100] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 12687 1587113085.815+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152.png" - 78.71.47.171 - - [17/Apr/2020:09:44:45 +0100] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 20625 1587113085.868+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:09:44:45 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 20625 1587113085.931+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon.png" - 78.71.47.171 - - [17/Apr/2020:09:44:45 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 16989 1587113085.997+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 78.71.47.171 - - [17/Apr/2020:09:44:46 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 12687 1587113086.200+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:09:44:46 +0100] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 14449 1587113086.439+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152.png" - 78.71.47.171 - - [17/Apr/2020:09:44:46 +0100] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 20625 1587113086.515+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:09:44:46 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 12687 1587113086.578+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon.png" - 78.71.47.171 - - [17/Apr/2020:09:44:46 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 28292 1587113086.687+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 78.71.47.171 - - [17/Apr/2020:09:44:46 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 20625 1587113086.768+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/index.html" - 78.71.47.171 - - [17/Apr/2020:11:20:08 +0100] "GET / HTTP/1.1" 200 5863 "-" "Mozilla/5.0 (iPad; CPU OS 12_4_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1" 18823 1587118808.413+5 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:11:20:08 +0100] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 16544 1587118808.563+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152.png" - 78.71.47.171 - - [17/Apr/2020:11:20:08 +0100] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 17684 1587118808.756+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:11:20:08 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 14620 1587118808.823+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon.png" - 78.71.47.171 - - [17/Apr/2020:11:20:08 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 18779 1587118808.947+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 78.71.47.171 - - [17/Apr/2020:11:20:08 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 18496 1587118808.999+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:11:20:09 +0100] "GET /apple-touch-icon-152x152-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 17684 1587118809.163+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-152x152.png" - 78.71.47.171 - - [17/Apr/2020:11:20:09 +0100] "GET /apple-touch-icon-152x152.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 14620 1587118809.217+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon-precomposed.png" - 78.71.47.171 - - [17/Apr/2020:11:20:09 +0100] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 18496 1587118809.268+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/apple-touch-icon.png" - 78.71.47.171 - - [17/Apr/2020:11:20:09 +0100] "GET /apple-touch-icon.png HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 16544 1587118809.441+0 (- -)
lppp.lancs.ac.uk "/export/depts/vhosts/lppp.lancs.ac.uk/favicon.ico" - 78.71.47.171 - - [17/Apr/2020:11:20:09 +0100] "GET /favicon.ico HTTP/1.1" 404 262 "-" "MobileSafari/604.1 CFNetwork/978.0.7 Darwin/18.7.0" 18496 1587118809.583+0 (- -)
